date,z_sf_L1,z_sf_L2,z_sf_L3,z_fs_L1,z_fs_L2,z_fs_L3,z_sf,z_fs,p_high_fs,p_high_sf
2021-04-26,29.06272421415801,24.960832092828742,21.920036838100902,28.8846796344414,24.841025107600956,21.874715564578747,25.31453104836255,25.200140102207033,0.9999914660802524,0.999994309903581
2021-05-03,28.043897608526663,25.234585725342473,23.177649958106716,27.92436176403743,25.128242745232612,23.13629085624969,25.48537776399195,25.39629845517324,0.999993700007997,0.9999957095712916
2021-05-10,28.960999805016417,26.302786724723052,24.569954319346387,28.837431105972875,26.200140648424533,24.54670491884682,26.611246949695285,26.528092224414745,0.9999989752146604,0.9999993781364285
2021-05-17,28.82984984927874,26.511358074245337,25.00084236315692,28.745725373520848,26.40578671728326,24.97032834231351,26.780683428893667,26.707280144372536,0.9999992410476607,0.9999995407645028
2021-05-24,29.271439247649297,27.528987577224395,26.33163423187319,29.211608959846952,27.441204527190493,26.300481008654792,27.710687018915632,27.651098165230746,0.9999998438911215,0.9999999144665002
2021-06-01,30.67240562074597,28.565180718766392,26.573581417309004,30.62000526555691,28.508941146216106,26.566617693351578,28.60372258560712,28.56518803504153,0.9999999678564196,0.9999999839867519
2021-06-08,27.886884706980137,26.497481593863846,23.85870819152494,27.838738095104855,26.469928991482867,23.891393433836946,26.08102483078964,26.066686840141557,0.9999978461221317,0.999998443858933
2021-06-15,28.09345047839736,27.226849132494998,23.64874758230023,28.032794272793456,27.214997229931026,23.695396196319138,26.3230157310642,26.314395899681205,0.999998491773813,0.999998934803067
2021-06-22,26.35810503094576,24.77813420623686,21.468156903735935,26.321651468542917,24.79325353504747,21.519001688619753,24.201465380306185,24.21130223073671,0.9999578372509508,0.9999628272027113
2021-06-29,26.634459062251057,24.14592009899548,20.110319720890185,26.606588778514006,24.151948940976414,20.12182331507292,23.630232960712238,23.626787011521113,0.9999038587320086,0.999913397111678
2021-07-07,29.11243941169786,25.37187810349165,20.341102794609892,29.06074254567378,25.353609252664974,20.335625116046494,24.941806769933134,24.916658971461754,0.9999855199708781,0.9999886024609427
2021-07-14,30.781993216704354,27.103211436192385,20.953505037912997,30.7357639535471,27.080332966554064,20.94555263926465,26.27956989693658,26.25388318645527,0.9999983756336813,0.999998877460294
2021-07-21,31.797581845049613,25.490002697822757,18.95910822949156,31.757854917147863,25.483537860577684,18.956159394410047,25.415564257454644,25.399184057378534,0.9999937435881198,0.9999951838455687
2021-07-28,35.38859635449404,24.143124175520775,16.89071174825567,35.37932283536776,24.143124175520775,16.88881249099483,25.47414409275683,25.47041983396112,0.9999944114374267,0.9999956350413819
2021-08-04,45.48786593954208,25.228742947674707,16.001825559975654,45.48786593954208,25.228742947674707,16.001825559975654,28.906144815730816,28.906144815730816,0.9999999823488395,0.9999999910249963
2021-08-11,49.68953361518688,24.72015886294413,15.065281646777816,49.68953361518688,24.72015886294413,15.065281646777816,29.82499137496961,29.82499137496961,0.9999999966606467,0.9999999985396316
2021-08-18,47.21565975562529,23.65067701656259,14.42083811198374,47.21565975562529,23.65067701656259,14.42083811198374,28.429058294723873,28.429058294723873,0.999999959256777,0.9999999776904647
2021-08-25,43.71552870205592,22.641251218165547,13.89345024227908,43.71552870205592,22.641251218165547,13.89345024227908,26.750076720833516,26.750076720833516,0.9999992930944209,0.9999995153260094
2021-09-01,43.070474771103996,22.90119247179828,14.386527535917434,43.070474771103996,22.90119247179828,14.386527535917434,26.786064926273237,26.786064926273237,0.9999993337603071,0.9999995451860858
2021-09-09,45.8783481322332,22.900209790283277,14.520738405456113,45.8783481322332,22.900209790283277,14.520738405456113,27.7664321093242,27.7664321093242,0.9999998714888536,0.9999999226893082
2021-09-16,42.04787355628895,22.030744775187465,13.996807358233008,42.04787355628895,22.030744775187465,13.996807358233008,26.025141896569806,26.025141896569806,0.9999976719906747,0.9999982716993313
2021-09-23,38.36740915001823,21.836175024105074,14.775384330769965,38.36740915001823,21.836175024105074,14.775384330769965,24.99298950163109,24.99298950163109,0.9999880763213741,0.9999902333456492
2021-09-30,37.097706086772,22.149991174501597,15.504371625048618,37.097706086772,22.149991174501597,15.504371625048618,24.91735629544074,24.91735629544074,0.9999827383855259,0.9999861551911654
2021-10-07,34.80152616543414,20.81969584548272,14.564775307156733,34.80152616543414,20.81969584548272,14.564775307156733,23.395332439357862,23.395332439357862,0.9997120541811153,0.9997479679524756
2021-10-14,32.597198969958775,20.659120582781576,14.995206119268673,32.597198969958775,20.659120582781576,14.995206119268673,22.750508557336342,22.750508557336342,0.9986767676551136,0.9988072487251328
2021-10-21,29.702850025671115,21.136298656011064,15.85857338620768,29.69836343895228,21.135056447600885,15.857506501434356,22.23257402262995,22.23030879599584,0.9965387618053098,0.9968117244998449
2021-10-28,28.743548269454717,20.69554955283071,15.953139669839413,28.721682837376207,20.687829015044986,15.947729720085546,21.797412497374946,21.78574719083558,0.9948095371284746,0.9951875773240861
2021-11-04,28.856552353106903,20.920123714374444,16.396006157265415,28.82999886628692,20.906898499317617,16.384664142347972,22.057560741582254,22.040520502650836,0.9960650124034961,0.9964092560949833
2021-11-11,30.215574893074876,21.600205769847044,16.884012983308747,30.183579269577944,21.586921456087925,16.872915210623955,22.899931215410223,22.881138645429942,0.9987777720686443,0.9989436857981967
2021-11-18,32.46408361932881,22.262875503971557,16.71264601565471,32.44556515533773,22.253906968772412,16.70893011078586,23.813201712985023,23.802800744965335,0.9997910491089647,0.9998313372324305
2021-11-29,32.03378806715006,20.96614626085087,15.581036270983997,32.01629047135715,20.958564093976452,15.577878114566444,22.86032353299498,22.850910893300014,0.9995916376893219,0.9996333932248906
2021-12-06,33.373301223911014,20.782483819781888,15.466971369417012,33.35351436992834,20.77545349939152,15.464845296956488,23.207585471036637,23.197937722092117,0.9996635580151866,0.9997028365447722
2021-12-13,32.22852165368918,20.276499009331815,15.343233733176426,32.21052775568523,20.26966605640072,15.341323414796713,22.616084798732473,22.60717240896089,0.9994345589262051,0.9994790603254258
2021-12-20,32.723467870778194,20.94036973927097,16.248421107948573,32.70466285413388,20.933227492249962,16.246662223395475,23.304086239332577,23.294850856593104,0.9997659377879801,0.9997916198424341
2021-12-28,33.84633562709338,21.92401185760651,16.5074830345361,33.82572274527062,21.916688510103448,16.507536731651005,24.092610173078665,24.083315995675022,0.9999422050784716,0.9999507392722736
2022-01-04,36.0917075800957,22.863777105559677,16.947803226849505,36.067372405996586,22.85616283049835,16.948267169529597,25.30109597083496,25.290600802008175,0.9999921927470494,0.9999939102874996
2022-01-11,38.4911298556316,24.882389823587708,17.84094336591731,38.46240983150759,24.873925035874603,17.84220907276676,27.071487681712203,27.05951464671632,0.9999995737214996,0.9999997249539095
2022-01-19,42.305193043961594,26.607828491772572,18.35854991723727,42.263598796408864,26.603047758472147,18.36394184523117,29.090523817657147,29.076862800037393,0.9999999870518592,0.9999999937537415
2022-01-26,41.52763460750603,26.51011903683642,17.91168432840952,41.47308180054672,26.507288794020813,17.91834266831794,28.64981265758399,28.632904420961825,0.9999999715338862,0.9999999853631996
2022-02-02,38.64258162713831,26.587523433362804,18.8625732966767,38.499986123958706,26.550920422470817,18.861470230892394,28.03089278572594,27.97079225910731,0.9999999097253328,0.9999999527820996
2022-02-09,35.12662287227524,25.831215259883344,19.56087008087393,35.028875394877986,25.805360875779293,19.56150266472096,26.83956940434417,26.79857964512608,0.9999993444767624,0.9999995849154938
2022-02-16,33.41331933696736,24.26134383205885,18.96293486802144,33.35433000404156,24.273139645935057,18.98098276544608,25.54586601234922,25.536150805140903,0.9999949902361537,0.9999961460160567
2022-02-24,37.755310638601905,27.206719323626377,20.406728798422716,37.883340050461626,27.25389713894089,20.431945312350432,28.456252920217,28.52306083391765,0.9999999652205767,0.9999999787096848
2022-03-03,34.05832249237215,25.725782773156723,19.59246085598137,34.15485478323604,25.772267126046955,19.625962014409584,26.458855373836744,26.51769464123086,0.999998116849919,0.9999986788705313
2022-03-10,30.19021963356915,25.066949203758526,21.216348582701198,30.23646907737689,25.078857613440555,21.223364948525887,25.491172473342957,25.512897213114442,0.9992193015045523,0.9993929417547056
2022-03-17,27.21007219060912,22.45550283506713,19.752059698829296,27.23878933459003,22.46357461443372,19.757139982546015,23.139211574835183,23.153167977189923,0.857348174970876,0.8630551217592067
2022-03-24,24.29250751224994,19.75596362401143,17.502122048661864,24.302415708890102,19.74413054694648,17.487104183786517,20.51686439497441,20.5112168132077,0.11278087224644459,0.11261290754282591
2022-03-31,23.22156873128489,18.465936820321737,16.293725827276912,23.239627590795845,18.481881482942953,16.297005522217255,19.327077126294512,19.339504865318684,0.003974781607843256,0.003858597292725034
2022-04-07,23.220414644280943,17.511590293399877,15.037653021879537,23.22931702770418,17.519033434642264,15.03719949117526,18.58988598652012,18.59518331784057,0.0002913940841785475,0.0002794525639621285
2022-04-14,25.023026217002343,17.666144621008673,14.605801281139676,25.031973200621152,17.679424721557844,14.611270389828364,19.098324039716896,19.10755610400245,0.0034559673057789793,0.003398128490513248
2022-04-22,27.924407638235497,19.307287259693243,15.206591894000654,27.9267382726684,19.339610769921094,15.211666693174541,20.812762263976463,20.82600524525468,0.12766582518684214,0.12834070777372653
2022-04-29,30.274060184257394,21.184544659795066,16.030242251379065,30.186478773520175,21.167783447137268,16.003267546446708,22.49628236514384,22.45250992236805,0.6943939889452717,0.7154613413074992
2022-05-06,31.852187198019838,23.205935615796264,17.362862917290638,31.759487279666658,23.16471493402569,17.328394742802068,24.14032857703558,24.084198985498137,0.9851299337518956,0.9888194310330221
2022-05-13,30.980160119003063,23.85677196124507,17.809332477489875,30.919101678043123,23.812658421718552,17.77467631760244,24.215421519246004,24.16881213912137,0.999317346603791,0.9995748097710127
2022-05-20,30.091194632230543,24.25989442366251,18.35249314879392,30.02083535013089,24.174514551305933,18.299842881559748,24.23452740156232,24.16506426099886,0.9999262898413861,0.9999514417448992
2022-05-27,28.10802888523427,24.47840092976182,19.491192997257567,27.99886772288395,24.364430285593503,19.413587413098437,24.025874270751217,23.925628473858634,0.9999356269631503,0.9999521529591869
2022-06-06,29.274014414739742,25.440054343919424,19.547849480815216,29.138621922068488,25.33620422078682,19.48350081953017,24.75397274649146,24.652775654128494,0.9999778275522213,0.9999844643032416
2022-06-13,27.89133542356512,24.688706009088566,19.627064229387774,27.80893656813463,24.635852963449555,19.59811297026317,24.069035220680487,24.014300833949118,0.9999456479438775,0.9999562113387441
2022-06-21,29.06639764340602,25.038928949899603,19.220962121913935,29.0175764885058,24.98447118756224,19.213141053615754,24.44209623840652,24.405062909894596,0.9999668817162121,0.9999737544093982
2022-06-28,28.97412023705211,24.32882652506584,18.312745586352843,28.928072544230726,24.277562349613895,18.277550517081536,23.871897449490262,23.827728470308717,0.9999073134009206,0.9999253258733003
2022-07-06,29.325577681416807,23.037423042080917,17.088761481656096,29.27638512688735,22.983889921557296,17.05730674471221,23.15058740171794,23.105860597718955,0.9996692888654715,0.9997200102245716
2022-07-13,30.050334657895565,22.108483658245643,15.682547251605694,30.024551381264846,22.08557083424143,15.66714942598413,22.6137885225823,22.592423880496806,0.9993155631774223,0.9993774560648181
2022-07-20,32.539665954318814,21.53169477061733,13.917497881488096,32.597524954960896,21.54337828130474,13.919877993035206,22.662952868808077,22.686927076433616,0.9994213867269643,0.999444473229634
2022-07-27,34.75879385834604,22.389404353540986,13.860386245491172,34.85451364591494,22.403501820519327,13.857456534021232,23.669528152459396,23.705157333485165,0.9998670143986109,0.9998751115531938
2022-08-03,38.95600933632834,21.970587786846565,11.741953585287883,38.921476080729086,21.970561412438734,11.739106801229754,24.22285023615426,24.21038143146586,0.9999458232608085,0.9999525752023066
2022-08-10,37.200304822649606,21.173218869610466,11.107388776688085,37.4320884400366,21.210456237139677,11.11100033205477,23.160304156316055,23.251181669743683,0.9997569894663908,0.9997254309264273
2022-08-17,34.90294957585796,20.977003010182997,11.544663360536811,35.21758386367905,21.038098205982536,11.552545487664922,22.474871982192592,22.60274251910884,0.9994666085362331,0.9993523398513865
2022-08-24,36.17497906111762,21.14902608429969,12.109838503177217,36.71868892183838,21.224953165042706,12.114356201715468,23.14461454953151,23.35266609619885,0.999785546742821,0.9997070106382256
